d,v,delta_crash,a
14,30,0.47,0
14,31,0.45,0
14,32,0.44,0
14,33,0.42,0
14,34,0.41,0
15,15,1,1
15,16,0.94,0
15,17,0.88,0
15,18,0.83,0
15,19,0.79,0
15,20,0.75,0
15,21,0.71,0
15,22,0.68,0
15,23,0.65,0
15,24,0.63,0
15,25,0.6,0
15,26,0.58,0
15,27,0.56,0
15,28,0.54,0
15,29,0.52,0
15,30,0.5,0
15,31,0.48,0
15,32,0.47,0
15,33,0.45,0
15,34,0.44,0
16,15,1.07,1
16,16,1,1
16,17,0.94,0
16,18,0.89,0
16,19,0.84,0
16,20,0.8,0
16,21,0.76,0
16,22,0.73,0
16,23,0.7,0
16,24,0.67,0
16,25,0.64,0
16,26,0.62,0
16,27,0.59,0
16,28,0.57,0
16,29,0.55,0
16,30,0.53,0
16,31,0.52,0
16,32,0.5,0
16,33,0.48,0
16,34,0.47,0
17,15,1.13,1
17,16,1.06,1
17,17,1,1
17,18,0.94,0
17,19,0.89,0
17,20,0.85,0
17,21,0.81,0
17,22,0.77,0
17,23,0.74,0
17,24,0.71,0
17,25,0.68,0
17,26,0.65,0
17,27,0.63,0
17,28,0.61,0
17,29,0.59,0
17,30,0.57,0
17,31,0.55,0
17,32,0.53,0
17,33,0.52,0
17,34,0.5,0
18,15,1.2,1
18,16,1.13,1
18,17,1.06,1
18,18,1,1
18,19,0.95,0
18,20,0.9,0
18,21,0.86,0
18,22,0.82,0
18,23,0.78,0
18,24,0.75,0
18,25,0.72,0
18,26,0.69,0
18,27,0.67,0
18,28,0.64,0
18,29,0.62,0
18,30,0.6,0
18,31,0.58,0
18,32,0.56,0
18,33,0.55,0
18,34,0.53,0
19,15,1.27,1
19,16,1.19,1
19,17,1.12,1
19,18,1.06,1
19,19,1,1
19,20,0.95,0
19,21,0.9,0
19,22,0.86,0
19,23,0.83,0
19,24,0.79,0
19,25,0.76,0
19,26,0.73,0
19,27,0.7,0
19,28,0.68,0
19,29,0.66,0
19,30,0.63,0
19,31,0.61,0
19,32,0.59,0
19,33,0.58,0
19,34,0.56,0
20,15,1.33,1
20,16,1.25,1
20,17,1.18,1
20,18,1.11,1
20,19,1.05,1
20,20,1,1
20,21,0.95,0
20,22,0.91,0
20,23,0.87,0
20,24,0.83,0
20,25,0.8,0
20,26,0.77,0
20,27,0.74,0
20,28,0.71,0
20,29,0.69,0
20,30,0.67,0
20,31,0.65,0
20,32,0.63,0
20,33,0.61,0
20,34,0.59,0
21,15,1.4,1
21,16,1.31,1
21,17,1.24,1
21,18,1.17,1
21,19,1.11,1
21,20,1.05,1
21,21,1,1
21,22,0.95,0
21,23,0.91,0
21,24,0.88,0
21,25,0.84,0
21,26,0.81,0
21,27,0.78,0
21,28,0.75,0
21,29,0.72,0
21,30,0.7,0
21,31,0.68,0
21,32,0.66,0
21,33,0.64,0
21,34,0.62,0
22,15,1.47,1
22,16,1.38,1
22,17,1.29,1
22,18,1.22,1
22,19,1.16,1
22,20,1.1,1
22,21,1.05,1
22,22,1,1
22,23,0.96,0
22,24,0.92,0
22,25,0.88,0
22,26,0.85,0
22,27,0.81,0
22,28,0.79,0
22,29,0.76,0
22,30,0.73,0
22,31,0.71,0
22,32,0.69,0
22,33,0.67,0
22,34,0.65,0
23,15,1.53,1
23,16,1.44,1
23,17,1.35,1
23,18,1.28,1
23,19,1.21,1
23,20,1.15,1
23,21,1.1,1
23,22,1.05,1
23,23,1,1
23,24,0.96,0
23,25,0.92,0
23,26,0.88,0
23,27,0.85,0
23,28,0.82,0
23,29,0.79,0
23,30,0.77,0
23,31,0.74,0
23,32,0.72,0
23,33,0.7,0
23,34,0.68,0
24,15,1.6,1
24,16,1.5,1
24,17,1.41,1
24,18,1.33,1
24,19,1.26,1
24,20,1.2,1
24,21,1.14,1
24,22,1.09,1
24,23,1.04,1
24,24,1,1
24,25,0.96,0
24,26,0.92,0
24,27,0.89,0
24,28,0.86,0
24,29,0.83,0
24,30,0.8,0
24,31,0.77,0
24,32,0.75,0
24,33,0.73,0
24,34,0.71,0
25,15,1.67,1
25,16,1.56,1
25,17,1.47,1
25,18,1.39,1
25,19,1.32,1
25,20,1.25,1
25,21,1.19,1
25,22,1.14,1
25,23,1.09,1
25,24,1.04,1
25,25,1,1
25,26,0.96,0
25,27,0.93,0
25,28,0.89,0
25,29,0.86,0
25,30,0.83,0
25,31,0.81,0
25,32,0.78,0
25,33,0.76,0
25,34,0.74,0
26,15,1.73,1
26,16,1.63,1
26,17,1.53,1
26,18,1.44,1
26,19,1.37,1
26,20,1.3,1
26,21,1.24,1
26,22,1.18,1
26,23,1.13,1
26,24,1.08,1
26,25,1.04,1
26,26,1,1
26,27,0.96,0
26,28,0.93,0
26,29,0.9,0
26,30,0.87,0
26,31,0.84,0
26,32,0.81,0
26,33,0.79,0
26,34,0.76,0
27,15,1.8,1
27,16,1.69,1
27,17,1.59,1
27,18,1.5,1
27,19,1.42,1
27,20,1.35,1
27,21,1.29,1
27,22,1.23,1
27,23,1.17,1
27,24,1.13,1
27,25,1.08,1
27,26,1.04,1
27,27,1,1
27,28,0.96,0
27,29,0.93,0
27,30,0.9,0
27,31,0.87,0
27,32,0.84,0
27,33,0.82,0
27,34,0.79,0
28,15,1.87,1
28,16,1.75,1
28,17,1.65,1
28,18,1.56,1
28,19,1.47,1
28,20,1.4,1
28,21,1.33,1
28,22,1.27,1
28,23,1.22,1
28,24,1.17,1
28,25,1.12,1
28,26,1.08,1
28,27,1.04,1
28,28,1,1
28,29,0.97,0
28,30,0.93,0
28,31,0.9,0
28,32,0.88,0
28,33,0.85,0
28,34,0.82,0
29,15,1.93,1
29,16,1.81,1
29,17,1.71,1
29,18,1.61,1
29,19,1.53,1
29,20,1.45,1
29,21,1.38,1
29,22,1.32,1
29,23,1.26,1
29,24,1.21,1
29,25,1.16,1
29,26,1.12,1
29,27,1.07,1
29,28,1.04,1
29,29,1,1
29,30,0.97,0
29,31,0.94,0
29,32,0.91,0
29,33,0.88,0
29,34,0.85,0
30,15,2,1
30,16,1.88,1
30,17,1.76,1
30,18,1.67,1
30,19,1.58,1
30,20,1.5,1
30,21,1.43,1
30,22,1.36,1
30,23,1.3,1
30,24,1.25,1
30,25,1.2,1
30,26,1.15,1
30,27,1.11,1
30,28,1.07,1
30,29,1.03,1
30,30,1,1
30,31,0.97,0
30,32,0.94,0
30,33,0.91,0
30,34,0.88,0
31,15,2.07,1
31,16,1.94,1
31,17,1.82,1
31,18,1.72,1
31,19,1.63,1
31,20,1.55,1
31,21,1.48,1
31,22,1.41,1
31,23,1.35,1
31,24,1.29,1
31,25,1.24,1
31,26,1.19,1
31,27,1.15,1
31,28,1.11,1
31,29,1.07,1
31,30,1.03,1
31,31,1,1
31,32,0.97,0
31,33,0.94,0
31,34,0.91,0
32,15,2.13,1
32,16,2,1
32,17,1.88,1
32,18,1.78,1
32,19,1.68,1
32,20,1.6,1
32,21,1.52,1
32,22,1.45,1
32,23,1.39,1
32,24,1.33,1
32,25,1.28,1
32,26,1.23,1
32,27,1.19,1
32,28,1.14,1
32,29,1.1,1
32,30,1.07,1
32,31,1.03,1
32,32,1,1
32,33,0.97,0
32,34,0.94,0
33,15,2.2,1
33,16,2.06,1
33,17,1.94,1
33,18,1.83,1
33,19,1.74,1
33,20,1.65,1
33,21,1.57,1
33,22,1.5,1
33,23,1.43,1
33,24,1.38,1
33,25,1.32,1
33,26,1.27,1
33,27,1.22,1
33,28,1.18,1
33,29,1.14,1
33,30,1.1,1
33,31,1.06,1
33,32,1.03,1
33,33,1,1
33,34,0.97,0
34,15,2.27,1
34,16,2.13,1
34,17,2,1
34,18,1.89,1
34,19,1.79,1
34,20,1.7,1
34,21,1.62,1
34,22,1.55,1
34,23,1.48,1
34,24,1.42,1
34,25,1.36,1
34,26,1.31,1
34,27,1.26,1
34,28,1.21,1
34,29,1.17,1
34,30,1.13,1
34,31,1.1,1
34,32,1.06,1
34,33,1.03,1
34,34,1,1
35,15,2.33,1
35,16,2.19,1
35,17,2.06,1
35,18,1.94,1
35,19,1.84,1
35,20,1.75,1
35,21,1.67,1
35,22,1.59,1
35,23,1.52,1
35,24,1.46,1
35,25,1.4,1
35,26,1.35,1
35,27,1.3,1
35,28,1.25,1
35,29,1.21,1
35,30,1.17,1
35,31,1.13,1
35,32,1.09,1
35,33,1.06,1
35,34,1.03,1
36,15,2.4,1
36,16,2.25,1
36,17,2.12,1
36,18,2,1
36,19,1.89,1
36,20,1.8,1
36,21,1.71,1
36,22,1.64,1
36,23,1.57,1
36,24,1.5,1
36,25,1.44,1
36,26,1.38,1
36,27,1.33,1
36,28,1.29,1
36,29,1.24,1
36,30,1.2,1
36,31,1.16,1
36,32,1.13,1
36,33,1.09,1
36,34,1.06,1
37,15,2.47,1
37,16,2.31,1
37,17,2.18,1
37,18,2.06,1
37,19,1.95,1
37,20,1.85,1
37,21,1.76,1
37,22,1.68,1
37,23,1.61,1
37,24,1.54,1
37,25,1.48,1
37,26,1.42,1
37,27,1.37,1
37,28,1.32,1
37,29,1.28,1
37,30,1.23,1
37,31,1.19,1
37,32,1.16,1
37,33,1.12,1
37,34,1.09,1
38,15,2.53,1
38,16,2.38,1
38,17,2.24,1
38,18,2.11,1
38,19,2,1
38,20,1.9,1
38,21,1.81,1
38,22,1.73,1
38,23,1.65,1
38,24,1.58,1
38,25,1.52,1
38,26,1.46,1
38,27,1.41,1
38,28,1.36,1
38,29,1.31,1
38,30,1.27,1
38,31,1.23,1
38,32,1.19,1
38,33,1.15,1
38,34,1.12,1
39,15,2.6,1
39,16,2.44,1
39,17,2.29,1
39,18,2.17,1
39,19,2.05,1
39,20,1.95,1
39,21,1.86,1
39,22,1.77,1
39,23,1.7,1
39,24,1.63,1
39,25,1.56,1
39,26,1.5,1
39,27,1.44,1
39,28,1.39,1
39,29,1.34,1
39,30,1.3,1
39,31,1.26,1
39,32,1.22,1
39,33,1.18,1
39,34,1.15,1
40,15,2.67,1
40,16,2.5,1
40,17,2.35,1
40,18,2.22,1
40,19,2.11,1
40,20,2,1
40,21,1.9,1
40,22,1.82,1
40,23,1.74,1
40,24,1.67,1
40,25,1.6,1
40,26,1.54,1
40,27,1.48,1
40,28,1.43,1
40,29,1.38,1
40,30,1.33,1
40,31,1.29,1
40,32,1.25,1
40,33,1.21,1
40,34,1.18,1
41,15,2.73,1
41,16,2.56,1
41,17,2.41,1
41,18,2.28,1
41,19,2.16,1
41,20,2.05,1
41,21,1.95,1
41,22,1.86,1
41,23,1.78,1
41,24,1.71,1
41,25,1.64,1
41,26,1.58,1
41,27,1.52,1
41,28,1.46,1
41,29,1.41,1
41,30,1.37,1
41,31,1.32,1
41,32,1.28,1
41,33,1.24,1
41,34,1.21,1
42,15,2.8,1
42,16,2.63,1
42,17,2.47,1
42,18,2.33,1
42,19,2.21,1
42,20,2.1,1
42,21,2,1
42,22,1.91,1
42,23,1.83,1
42,24,1.75,1
42,25,1.68,1
42,26,1.62,1
42,27,1.56,1
42,28,1.5,1
42,29,1.45,1
42,30,1.4,1
42,31,1.35,1
42,32,1.31,1
42,33,1.27,1
42,34,1.24,1
43,15,2.87,1
43,16,2.69,1
43,17,2.53,1
43,18,2.39,1
43,19,2.26,1
43,20,2.15,1
43,21,2.05,1
43,22,1.95,1
43,23,1.87,1
43,24,1.79,1
43,25,1.72,1
43,26,1.65,1
43,27,1.59,1
43,28,1.54,1
43,29,1.48,1
43,30,1.43,1
43,31,1.39,1
43,32,1.34,1
43,33,1.3,1
43,34,1.26,1
44,15,2.93,1
44,16,2.75,1
44,17,2.59,1
44,18,2.44,1
44,19,2.32,1
44,20,2.2,1
44,21,2.1,1
44,22,2,1
44,23,1.91,1
44,24,1.83,1
44,25,1.76,1
44,26,1.69,1
44,27,1.63,1
44,28,1.57,1
44,29,1.52,1
44,30,1.47,1
44,31,1.42,1
44,32,1.38,1
44,33,1.33,1
44,34,1.29,1
45,15,3,1
45,16,2.81,1
45,17,2.65,1
45,18,2.5,1
45,19,2.37,1
45,20,2.25,1
45,21,2.14,1
45,22,2.05,1
45,23,1.96,1
45,24,1.88,1
45,25,1.8,1
45,26,1.73,1
45,27,1.67,1
45,28,1.61,1
45,29,1.55,1
45,30,1.5,1
45,31,1.45,1
45,32,1.41,1
45,33,1.36,1
45,34,1.32,1
46,15,3.07,1
46,16,2.88,1
46,17,2.71,1
46,18,2.56,1
46,19,2.42,1
46,20,2.3,1
46,21,2.19,1
46,22,2.09,1
46,23,2,1
46,24,1.92,1
46,25,1.84,1
46,26,1.77,1
46,27,1.7,1
46,28,1.64,1
46,29,1.59,1
46,30,1.53,1
46,31,1.48,1
46,32,1.44,1
46,33,1.39,1
46,34,1.35,1
47,15,3.13,1
47,16,2.94,1
47,17,2.76,1
47,18,2.61,1
47,19,2.47,1
47,20,2.35,1
47,21,2.24,1
47,22,2.14,1
47,23,2.04,1
47,24,1.96,1
47,25,1.88,1
47,26,1.81,1
47,27,1.74,1
47,28,1.68,1
47,29,1.62,1
47,30,1.57,1
47,31,1.52,1
47,32,1.47,1
47,33,1.42,1
47,34,1.38,1
48,15,3.2,1
48,16,3,1
48,17,2.82,1
48,18,2.67,1
48,19,2.53,1
48,20,2.4,1
48,21,2.29,1
48,22,2.18,1
48,23,2.09,1
48,24,2,1
48,25,1.92,1
48,26,1.85,1
48,27,1.78,1
48,28,1.71,1
48,29,1.66,1
48,30,1.6,1
48,31,1.55,1
48,32,1.5,1
48,33,1.45,1
48,34,1.41,1
49,15,3.27,1
49,16,3.06,1
49,17,2.88,1
49,18,2.72,1
49,19,2.58,1
49,20,2.45,1
49,21,2.33,1
49,22,2.23,1
49,23,2.13,1
49,24,2.04,1
49,25,1.96,1
49,26,1.88,1
49,27,1.81,1
49,28,1.75,1
49,29,1.69,1
49,30,1.63,1
49,31,1.58,1
49,32,1.53,1
49,33,1.48,1
49,34,1.44,1
50,15,3.33,1
50,16,3.13,1
50,17,2.94,1
50,18,2.78,1
50,19,2.63,1
50,20,2.5,1
50,21,2.38,1
50,22,2.27,1
50,23,2.17,1
50,24,2.08,1
50,25,2,1
50,26,1.92,1
50,27,1.85,1
50,28,1.79,1
50,29,1.72,1
50,30,1.67,1
50,31,1.61,1
50,32,1.56,1
50,33,1.52,1
50,34,1.47,1
51,15,3.4,1
51,16,3.19,1
51,17,3,1
51,18,2.83,1
51,19,2.68,1
51,20,2.55,1
51,21,2.43,1
51,22,2.32,1
51,23,2.22,1
51,24,2.13,1
51,25,2.04,1
51,26,1.96,1
51,27,1.89,1
51,28,1.82,1
51,29,1.76,1
51,30,1.7,1
51,31,1.65,1
51,32,1.59,1
51,33,1.55,1
51,34,1.5,1
52,15,3.47,1
52,16,3.25,1
52,17,3.06,1
52,18,2.89,1
52,19,2.74,1
52,20,2.6,1
52,21,2.48,1
52,22,2.36,1
52,23,2.26,1
52,24,2.17,1
52,25,2.08,1
52,26,2,1
52,27,1.93,1
52,28,1.86,1
52,29,1.79,1
52,30,1.73,1
52,31,1.68,1
52,32,1.63,1
52,33,1.58,1
52,34,1.53,1
53,15,3.53,1
53,16,3.31,1
53,17,3.12,1
53,18,2.94,1
53,19,2.79,1
53,20,2.65,1
53,21,2.52,1
53,22,2.41,1
53,23,2.3,1
53,24,2.21,1
53,25,2.12,1
53,26,2.04,1
53,27,1.96,1
53,28,1.89,1
53,29,1.83,1
53,30,1.77,1
53,31,1.71,1
53,32,1.66,1
53,33,1.61,1
53,34,1.56,1
54,15,3.6,1
54,16,3.38,1
54,17,3.18,1
54,18,3,1
54,19,2.84,1
54,20,2.7,1
54,21,2.57,1
54,22,2.45,1
54,23,2.35,1
54,24,2.25,1
54,25,2.16,1
54,26,2.08,1
54,27,2,1
54,28,1.93,1
54,29,1.86,1
54,30,1.8,1
54,31,1.74,1
54,32,1.69,1
54,33,1.64,1
54,34,1.59,1
55,15,3.67,1
55,16,3.44,1
55,17,3.24,1
55,18,3.06,1
55,19,2.89,1
55,20,2.75,1
55,21,2.62,1
55,22,2.5,1
55,23,2.39,1
55,24,2.29,1
55,25,2.2,1
55,26,2.12,1
55,27,2.04,1
55,28,1.96,1
55,29,1.9,1
55,30,1.83,1
55,31,1.77,1
55,32,1.72,1
55,33,1.67,1
55,34,1.62,1
56,15,3.73,1
56,16,3.5,1
56,17,3.29,1
56,18,3.11,1
56,19,2.95,1
56,20,2.8,1
56,21,2.67,1
56,22,2.55,1
56,23,2.43,1
56,24,2.33,1
56,25,2.24,1
56,26,2.15,1
56,27,2.07,1
56,28,2,1
56,29,1.93,1
56,30,1.87,1
56,31,1.81,1
56,32,1.75,1
56,33,1.7,1
56,34,1.65,1
57,15,3.8,1
57,16,3.56,1
57,17,3.35,1
57,18,3.17,1
57,19,3,1
57,20,2.85,1
57,21,2.71,1
57,22,2.59,1
57,23,2.48,1
57,24,2.38,1
57,25,2.28,1
57,26,2.19,1
57,27,2.11,1
57,28,2.04,1
57,29,1.97,1
57,30,1.9,1
57,31,1.84,1
57,32,1.78,1
57,33,1.73,1
57,34,1.68,1
58,15,3.87,1
58,16,3.63,1
58,17,3.41,1
58,18,3.22,1
58,19,3.05,1
58,20,2.9,1
58,21,2.76,1
58,22,2.64,1
58,23,2.52,1
58,24,2.42,1
58,25,2.32,1
58,26,2.23,1
58,27,2.15,1
58,28,2.07,1
58,29,2,1
58,30,1.93,1
58,31,1.87,1
58,32,1.81,1
58,33,1.76,1
58,34,1.71,1
59,15,3.93,1
59,16,3.69,1
59,17,3.47,1
59,18,3.28,1
59,19,3.11,1
59,20,2.95,1
59,21,2.81,1
59,22,2.68,1
59,23,2.57,1
59,24,2.46,1
59,25,2.36,1
59,26,2.27,1
59,27,2.19,1
59,28,2.11,1
59,29,2.03,1
59,30,1.97,1
59,31,1.9,1
59,32,1.84,1
59,33,1.79,1
59,34,1.74,1
60,15,4,1
60,16,3.75,1
60,17,3.53,1
60,18,3.33,1
60,19,3.16,1
60,20,3,1
60,21,2.86,1
60,22,2.73,1
60,23,2.61,1
60,24,2.5,1
60,25,2.4,1
60,26,2.31,1
60,27,2.22,1
60,28,2.14,1
60,29,2.07,1
60,30,2,1
60,31,1.94,1
60,32,1.88,1
60,33,1.82,1
60,34,1.76,1
61,15,4.07,1
61,16,3.81,1
61,17,3.59,1
61,18,3.39,1
61,19,3.21,1
61,20,3.05,1
61,21,2.9,1
61,22,2.77,1
61,23,2.65,1
61,24,2.54,1
61,25,2.44,1
61,26,2.35,1
61,27,2.26,1
61,28,2.18,1
61,29,2.1,1
61,30,2.03,1
61,31,1.97,1
61,32,1.91,1
61,33,1.85,1
61,34,1.79,1
62,15,4.13,1
62,16,3.88,1
62,17,3.65,1
62,18,3.44,1
62,19,3.26,1
62,20,3.1,1
62,21,2.95,1
62,22,2.82,1
62,23,2.7,1
62,24,2.58,1
62,25,2.48,1
62,26,2.38,1
62,27,2.3,1
62,28,2.21,1
62,29,2.14,1
62,30,2.07,1
62,31,2,1
62,32,1.94,1
62,33,1.88,1
62,34,1.82,1
63,15,4.2,1
63,16,3.94,1
63,17,3.71,1
63,18,3.5,1
63,19,3.32,1
63,20,3.15,1
63,21,3,1
63,22,2.86,1
63,23,2.74,1
63,24,2.63,1
63,25,2.52,1
63,26,2.42,1
63,27,2.33,1
63,28,2.25,1
63,29,2.17,1
63,30,2.1,1
63,31,2.03,1
63,32,1.97,1
63,33,1.91,1
63,34,1.85,1
64,15,4.27,1
64,16,4,1
64,17,3.76,1
64,18,3.56,1
64,19,3.37,1
64,20,3.2,1
64,21,3.05,1
64,22,2.91,1
64,23,2.78,1
64,24,2.67,1
64,25,2.56,1
64,26,2.46,1
64,27,2.37,1
64,28,2.29,1
64,29,2.21,1
64,30,2.13,1
64,31,2.06,1
64,32,2,1
64,33,1.94,1
64,34,1.88,1
65,15,4.33,1
65,16,4.06,1
65,17,3.82,1
65,18,3.61,1
65,19,3.42,1
65,20,3.25,1
65,21,3.1,1
65,22,2.95,1
65,23,2.83,1
65,24,2.71,1
65,25,2.6,1
65,26,2.5,1
65,27,2.41,1
65,28,2.32,1
65,29,2.24,1
65,30,2.17,1
65,31,2.1,1
65,32,2.03,1
65,33,1.97,1
65,34,1.91,1
66,15,4.4,1
66,16,4.13,1
66,17,3.88,1
66,18,3.67,1
66,19,3.47,1
66,20,3.3,1
66,21,3.14,1
66,22,3,1
66,23,2.87,1
66,24,2.75,1
66,25,2.64,1
66,26,2.54,1
66,27,2.44,1
66,28,2.36,1
66,29,2.28,1
66,30,2.2,1
66,31,2.13,1
66,32,2.06,1
66,33,2,1
66,34,1.94,1
67,15,4.47,1
67,16,4.19,1
67,17,3.94,1
67,18,3.72,1
67,19,3.53,1
67,20,3.35,1
67,21,3.19,1
67,22,3.05,1
67,23,2.91,1
67,24,2.79,1
67,25,2.68,1
67,26,2.58,1
67,27,2.48,1
67,28,2.39,1
67,29,2.31,1
67,30,2.23,1
67,31,2.16,1
67,32,2.09,1
67,33,2.03,1
67,34,1.97,1
68,15,4.53,1
68,16,4.25,1
68,17,4,1
68,18,3.78,1
68,19,3.58,1
68,20,3.4,1
68,21,3.24,1
68,22,3.09,1
68,23,2.96,1
68,24,2.83,1
68,25,2.72,1
68,26,2.62,1
68,27,2.52,1
68,28,2.43,1
68,29,2.34,1
68,30,2.27,1
68,31,2.19,1
68,32,2.13,1
68,33,2.06,1
68,34,2,1
69,15,4.6,1
69,16,4.31,1
69,17,4.06,1
69,18,3.83,1
69,19,3.63,1
69,20,3.45,1
69,21,3.29,1
69,22,3.14,1
69,23,3,1
69,24,2.88,1
69,25,2.76,1
69,26,2.65,1
69,27,2.56,1
69,28,2.46,1
69,29,2.38,1
69,30,2.3,1
69,31,2.23,1
69,32,2.16,1
69,33,2.09,1
69,34,2.03,1
70,15,4.67,1
70,16,4.38,1
70,17,4.12,1
70,18,3.89,1
70,19,3.68,1
70,20,3.5,1
70,21,3.33,1
70,22,3.18,1
70,23,3.04,1
70,24,2.92,1
70,25,2.8,1
70,26,2.69,1
70,27,2.59,1
70,28,2.5,1
